numero_national_de_structure;libelle;sigle;etat;annee_de_creation;annee_de_fermeture;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;numero_de_structure_successeur;code_de_type_de_succession;type_de_succession;annee_de_succession
200710692W;Institut Pluridisciplinaire de recherche appliquée en génie pétrolier;IPRA;Active;2005;;Structures Fédératives de Recherche;3;3;;;;
200810697X;INSTITUT NORMAND DE CHIMIE MOLÉCULAIRE, MÉDICINALE ET MACROMOLÉCULAIRE;INC3M;Active;2008;;Structures Fédératives de Recherche;3;3;;;;
200310708F;INSTITUT DE PHYSIQUE FONDAMENTALE (IPF);FED4;Inactive;2003;2010;Structures Fédératives de Recherche;3;3;;;;
200310715N;INSTITUT EUROPEEN EST-OUEST;FED11;Inactive;2003;2006;Structures Fédératives de Recherche;3;3;;;;
200510719J;GENIE INDUSTRIEL, MECANIQUE, MATERIAUX  (GI2M);FED15;Inactive;2005;2008;Structures Fédératives de Recherche;3;3;;;;
200412225A;LABORATOIRE D'ELECTRONIQUE ET SYSTEMES DE TELECOMMUNICATIONS (AVEC L'ENSTB);UMR6165;Inactive;2004;2007;Unité mixte;22;2;;;;
200212226K;LABORATOIRE D'INFORMATIQUE FONDAMENTALE DE MARSEILLE;LIF;Inactive;2002;2011;Unité propre;21;2;;;;
200212227L;LABORATOIRE DES SCIENCES DE L'INFORMATION ET DES SYSTEMES;LSIS;Inactive;2002;2011;Unité mixte;22;2;;;;
200012229X;SYSTÈMES CHIMIQUES COMPLEXES FORMULATION-QUALITE-ENVIRONNEMENT;UMR6171;Inactive;2000;2007;Unité mixte;22;2;200812292F;EF;éclatement - fusion;2008
200412231G;CITÉS, TERRITOIRES, ENVIRONNEMENT, SOCIÉTÉS;CITERES;Inactive;2004;2011;Unité mixte;22;2;;;;
200412234K;SYNTHÈSE, MODÈLES, IMPLICATIONS  BIOLOGIQUES (SYMBIO);UMR6178;Inactive;2004;2007;Unité mixte;22;2;200812292F;EF;éclatement - fusion;2008
200812261X;INSTITUT DE BIOLOGIE DU DÉVELOPPEMENT DE MARSEILLE-LUMINY;IBDML;Inactive;2008;2011;Unité propre;21;2;;;;
200310628U;FEDERATION ELESA;FR8;Inactive;2003;2006;Structures Fédératives de Recherche;3;3;;;;
200310634A;MAISON DE L'ORIENT ET DE LA MEDITERRANEE JEAN POUILLOUX;FR538;Inactive;2003;2010;Structures Fédératives de Recherche;3;3;;;;
200610637R;Fédération de recherche du département de physique de l'Ecole Normale Supérieure;;Inactive;1998;2018;Structures Fédératives de Recherche;3;3;201922973T;F;fusion;2019
200410638A;Energétique, propulsion, espace, environnement;EPEE;Inactive;1998;2017;Structures Fédératives de Recherche;3;3;;;;
200610640U;INSTITUT FÉDÉRATIF DE RECHERCHE SUR LES ECONOMIES ET SOCIETES INDUSTRIELLES IFRESI;FR1768;Inactive;2006;2009;Structures Fédératives de Recherche;3;3;;;;
200310645M;INSTITUT DES SCIENCES DE LA TERRE DE L'ENVIRONNEMENT ET DE L'ESPACE DE MONTPELLIER;FR2035;Inactive;2003;2006;Structures Fédératives de Recherche;3;3;;;;
200310649S;MATERIAUX DE STRUCTURE ET PROPRIETES D'USAGE;FR2145;Inactive;2003;2010;Structures Fédératives de Recherche;3;3;;;;
200510659U;STATION BIOLOGIQUE DE ROSCOFF;FR2424;Inactive;2005;2008;Structures Fédératives de Recherche;3;3;;;;
200610662T;Institut de recherche en sciences et techniques de la ville;IRSTV;Active;2002;;Structures Fédératives de Recherche;3;3;;;;
200310667L;Institut de Chimie de Toulouse;ICT;Active;2003;;Structures Fédératives de Recherche;3;3;;;;
200310668M;NANOSCIENCES;FR2601;Inactive;2003;2006;Structures Fédératives de Recherche;3;3;;;;
200310669N;Sciences de la Matière et Technologies;SMT;Inactive;2003;2016;Structures Fédératives de Recherche;3;3;;;;
200510673J;SPECTROSCOPIE, MATIÈRE ET RAYONNEMENT, RÉACTIVITÉ ET THÉORIE (SMART);FR2622;Inactive;2005;2008;Structures Fédératives de Recherche;3;3;;;;
200510683V;DÉPARTEMENT DE PHYSIQUE ET CHIMIE DES MATÉRIAUX DE MULHOUSE (DPCM2);FR2798;Inactive;2005;2008;Structures Fédératives de Recherche;3;3;;;;
200510685X;FEDERATION DE CHIMIE DE NANCY;FR2843;Inactive;2005;2008;Structures Fédératives de Recherche;3;3;;;;
200410847C;MAISON DE LA RECHERCHE EN SCIENCES HUMAINES;UMS843;Inactive;2004;2011;Structures Fédératives de Recherche;3;3;;;;
200510848Z;MAISON RENE GINOUVES;UMS844;Inactive;2005;2008;Structures Fédératives de Recherche;3;3;;;;
200610854B;Observatoire de Paris;OBS. PARIS;Active;2000;;Structures Fédératives de Recherche;3;3;;;;
200310865B;NANO-ANALYSES;UMS2679;Inactive;2003;2008;Structures Fédératives de Recherche;3;3;;;;
200310866C;INVENTAIRE ET SUIVI DE LA BIODIVERSITÉ;UMS2699;Inactive;2003;2008;Structures Fédératives de Recherche;3;3;;;;
200310876N;Cellule de Coordination Documentaire nationale pour les Mathématiques;MathDoc;Active;1995;;Structures Fédératives de Recherche;3;3;;;;
200012118B;DEVELOPPEMENT ET PHYSIOLOGIE DES STRUCTURES CONTRACTILES;UMR6018;Inactive;2000;2003;Unité mixte;22;2;;;;
200012119C;DYNAMIQUE DES RECIFS ET DES PLATES-FORMES CARBONATEES;UMR6019;Inactive;2000;2003;Unité mixte;22;2;;;;
200012127L;INTERACTIONS ENTRE SYSTEMES PROTEIQUES ET DIFFERENCIATION DANS LA CELLULE TUMORALE;UMR6032;Inactive;2000;2003;Unité mixte;22;2;;;;
200012137X;CENTRE DE RECHERCHE D'HISTOIRE DES IDEES;UMR6045;Inactive;2000;2003;Unité mixte;22;2;;;;
200012141B;INSTITUT OUEST DROIT EUROPE (IODE);UMR6050;Inactive;2000;2003;Unité mixte;22;2;;;;
200012145F;CENTRE UNIVERSITAIRE DE RECHERCHES SUR L'ACTION PUBLIQUE ET POLITIQUE;UMR6054;Inactive;2000;2011;Unité mixte;22;2;;;;
